CUSTOMER_NM,LOAN_NO,ADDRESS,PAN NUMBER,AADHAR,ACC NUMBER,LOAN TYPE
C,l-05,USA,BAXQW123,65487215,85264982,HOME LOAN
B,l-03,USA,BAXQW124,65487216,85264983,CAR LOAN
A,l-01,USA,BAXQW125,65487217,85264984,HOME LOAN
A,l-02,UK,BAXQW126,65487218,85264985,EDUCATION
A,l-03,UAE,BAXQW127,65487219,85264986,EDUCATION
C,l-04,UK,BAXQW128,65487220,85264987,CAR LOAN
A,l-05,UK,BAXQW129,65487221,85264988,HOME LOAN
R,l-06,UAE,BAXQW130,65487222,85264989,EDUCATION
A,l-07,USA,BAXQW131,65487223,85264990,CAR LOAN
D,l-08,UK,BAXQW132,65487224,85264991,EDUCATION
A,l-09,DUBAI,BAXQW133,65487225,85264992,HOME LOAN
A,l-10,UAE,BAXQW134,65487226,85264993,HOME LOAN
R,l-11,USA,BAXQW135,65487227,85264994,CAR LOAN
Y,l-12,DUBAI,BAXQW136,65487228,85264995,EDUCATION
A,l-13,UAE,BAXQW137,65487229,85264996,HOME LOAN
A,l-14,UK,BAXQW138,65487230,85264997,EDUCATION
S,l-15,DUBAI,BAXQW139,65487231,85264998,HOME LOAN
A,l-16,USA,BAXQW140,65487232,85264999,CAR LOAN
H,l-17,CANADA,BAXQW141,65487233,85265000,HOME LOAN
A,l-18,UK,BAXQW142,65487234,85265001,EDUCATION
A,l-19,CANADA,BAXQW143,65487235,85265002,HOME LOAN
L,l-20,UK,BAXQW144,65487236,85265003,EDUCATION
A,l-21,UAE,BAXQW145,65487237,85265004,CAR LOAN
Y,l-22,CANADA,BAXQW146,65487238,85265005,CAR LOAN
A,l-23,DUBAI,BAXQW147,65487239,85265006,EDUCATION
A,l-24,UK,BAXQW148,65487240,85265007,HOME LOAN
A,l-25,UAE,BAXQW149,65487241,85265008,EDUCATION
A,l-26,CANADA,BAXQW150,65487242,85265009,HOME LOAN
A,l-27,USA,BAXQW151,65487243,85265010,HOME LOAN
